ID,qualtrics_q_id,html_input,empty
EFF,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences.",
EFF,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I have to work and receive the corresponding wage.",
EFF,q23,Which one of the following statements is <b>NOT</b> true?,
EFF,q23a1,"To complete a task, I need to count the number of times a 1 occurs in a table, and my guess has to be no further than 5 from the true number. If my guess is further away from the true number, a new task will be generated.",
EFF,q23a2,"To complete a task, I need to count the number of times a 1 occurs in a table. If I fail to count correctly, a new task will be generated.",
EFF,q23a3,"If the wage is $0.00, I will not receive any payment for completing all tasks.",
EFF,q33,"Below is an example of a counting task. To show us that you understand and can perform the task, please select the the answer corresponding to the number of 1s in the table: <center> <div><img width=400px; src=https://harvard.az1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ERqr94AuM59gloR></div></center>",
EFF,q33a1,3,
EFF,q33a2,5,
EFF,q33a3,8,
PRS,q12,Which one of the following statements is true?,
PRS,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
PRS,q12a2,"When I'm asked to indicate my certainty about my decision, the study leaders are interested in how certain I am that water will be added rather than removed in the second season.",
PRS,q22,Which one of the following statements is true?,
PRS,q22a1,"In terms of having a high expected total crop yield, it is more important to allocate water to the Summer when the potential weather shock is large.",
PRS,q22a2,"In terms of having a high expected total crop yield, it is more important to allocate water to the Summer when the potential weather shock is small.",
PRS,q32,Which one of the following statements is true?,
PRS,q32a1,"Because the crop yield increase from additional water in the Spring gets smaller and smaller the more water is already allocated to the Spring, it can make sense to allocate water to the Summer even though the yield from the Summer only increases my total crop yield with a weight of 90%.",
PRS,q32a2,"Because the crop yield increase from additional water in the Spring gets smaller and smaller the more water is already allocated to the Spring, it never makes sense to allocate water to the Summer, because the yield from the Summer only increases my total crop yield with a weight of 90%.",
PAC,q12,Which one of the following statements is true?,
PAC,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
PAC,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I will actually receive the money from the lottery.",
PAC,q22,Which one of the following statements is true?,
PAC,q22a1,"The percentage chances of a win and a loss are the same across all rounds, 50% for each.",
PAC,q22a2,The percentage chances of a win and a loss vary across rounds.,
PAC,q33,Which one of the following statements is true?,
PAC,q33a1,"I can find out whether the lottery delivers a gain or a loss. If 31 equations are correct, it is a gain. If 29 equations are correct, it is a loss.",
PAC,q33a2,"I can find out whether the lottery delivers a gain or a loss. If all equations are correct, it is a gain, otherwise it is a loss.",
PAC,q33a3,I cannot find out whether the lottery delivers a gain or a loss.,
FAI,q12,Which one of the following statements is true?,
FAI,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
FAI,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I chose the option that actually maximizes my own payoff.",
FAI,q23,Which one of the following statements is true?,
FAI,q23a1,"The higher the percentage chance that the winner was selected based on the coin flip, the higher the chance the declared winner is determined by random luck.",
FAI,q23a2,"The higher the percentage chance that the winner was selected based on the coin flip, the lower the chance the declared winner is determined by random luck.",
FAI,q23a3,The percentage chance that the winner was selected based on the coin flip has no impact on whether the declared winner is determined by random luck.,
FAI,q33,Which one of the following statements is true?,
FAI,q33a1,I do not know for sure who actually performed better in the contest. ,
FAI,q33a2,"The more points I transfer, the more points go to the person who actually performed better in the contest.",
FAI,q33a3,"The more points I transfer, the less points go to the person who actually performed better in the contest.",
BEU,q12,Which one of the following statements is true?,
BEU,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my estimate of the percentage chance that Bag A was selected is statistically correct.",
BEU,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that Bag A was selected.",
BEU,q22,Which one of the following statements is true?,
BEU,q22a1,"If the computer draws a card with “R” on it from the deck of cards, it will draw a ball from Bag R and show it to me. ",
BEU,q22a2,"If the computer draws a card with “R” on it from the deck of cards, it will draw a ball from a randomly selected bag and show it to me. ",
BEU,q33,Which one of the following statements is <b>NOT</b> true?,
BEU,q33a1,"If both bags contain the same number of red and blue balls, it is more likely a red ball will be drawn if Bag R was selected, compared to if Bag B was selected.",
BEU,q33a2,"If both bags contain the same number of red and blue balls, then the likelihood a red ball will be drawn does not depend on whether Bag R or Bag B was selected. ",
BEU,q33a3,"If Bag R contains only red balls and Bag B contains only blue balls, then a red ball will be drawn only if Bag R was selected. ",
VOT,q12,Which one of the following statements is true?,
VOT,q12a1,"When I’m asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I took the decision that actually reflects my preferences.",
VOT,q12a2,"When I’m asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that A will win the election.",
VOT,q22,Which one of the following statements is true?,
VOT,q22a1,"The outcome of the election matters for my earnings (No taxes if A wins, taxes of $8 if B wins) regardless of whether or not I choose to submit a vote.",
VOT,q22a2,"The outcome of the election matters for my earnings (No taxes if A wins, taxes of $8 if B wins) only if I submit a vote.",
VOT,q33,Which one of the following statements is true?,
VOT,q33a1,"I pay the $1 price for voting, regardless of which option wins.",
VOT,q33a2,I pay the $1 price for voting only if A wins. ,
VOT,q33a3,I pay the $1 price for voting only if B wins.,
CHT,q12,Which one of the following statements is true?,
CHT,q12a1,"When I’m asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I gave the best possible estimate of the investment quality, given the available information.",
CHT,q12a2,"When I’m asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the other participant truthfully reported the investment quality.",
CHT,q23,Which one of the following statements is true?,
CHT,q23a1,"When I Reveal, my customer will see the actual investment quality. When I Hide, they won’t get any additional information, but they will be told that I had the chance to Reveal.",
CHT,q23a2,"When I decide to Reveal, I can report a different number than the true investment quality.",
CHT,q23a3,"When I Hide, my customer won’t know that I had the opportunity to reveal the investment quality to them.",
CHT,q33,Which one of the following statements is true?,
CHT,q33a1,"My customer knows that my earnings are determined differently from theirs. I get paid more for a higher guess, but they get paid more for a more accurate guess.",
CHT,q33a2,My customer knows that their earnings are determined in the same way as mine: we both get paid more the more accurate their guess.,
CHT,q33a3,My customer knows that their earnings are determined in the same way as mine: we both get paid more for a higher guess.,
REC,q12,Which one of the following statements is true for the first section?,
REC,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my estimate of the company’s stock price is correct.",
REC,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the company’s stock price is higher than 100.",
REC,q22,Which one of the following statements is true?,
REC,q22a1,I will be given 100 pieces of news about a company and my task is to estimate the current stock price based on this news.,
REC,q22a2,I will be given 100 pieces of news about a company and my task is to guess the next pieces of news about the company.,
REC,q33,Which one of the following statements is true?,
REC,q33a1,The stock price is affected by both the number of positive and negative news.,
REC,q33a2,The stock price is only affected by the number of negative news.,
REC,q33a3,The stock price is only affected by the number of positive news.,
SEA,q12,Which one of the following statements is true?,
SEA,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the minimum value I chose is the one that will lead to the highest possible bonus.  ",
SEA,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the computer will ever draw a number as large as the minimum value I set.",
SEA,q22,Which one of the following statements is true?,
SEA,q22a1,The computer will return the poker chip to the bag before it draws another one.,
SEA,q22a2,The computer will not return the poker chip to the bag before it draws another one.,
SEA,q33,Which one of the following statements is <b>NOT</b> true?,
SEA,q33a1,"If I set a higher minimum value, the overall cost on my score is lower, on average.",
SEA,q33a2,"If I set a higher minimum value, the number on the chip that determines my base score is higher, on average.",
SEA,q33a3,"If I set a higher minimum value, the overall cost on my score is higher, on average.",
MUL,q12,Which one of the following statements is true?,
MUL,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I took is actually the decision that maximizes my bonus.",
MUL,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that they will actually pay me my bonus.",
MUL,q23,Which one of the following statements is true?,
MUL,q23a1,Going from 80 hours of practice to 90 hours of practice with Horse A generates a smaller increase in Horse A’s prize money than going from 10 hours to 20 hours.,
MUL,q23a2,Going from 80 hours of practice to 90 hours of practice with Horse A generates the same increase in Horse A’s prize money as going from 10 hours to 20 hours.,
MUL,q23a3,Going from 80 hours of practice to 90 hours of practice with Horse A generates a larger increase in Horse A’s prize money than going from 10 hours to 20 hours.,
MUL,q32,Which one of the following statements is true?,
MUL,q32a1,"Even if I receive a larger share of Horse A's prize money than of B's, practicing with Horse B can make sense. This is because if I already practice a lot with A, additional practice only generates relatively small increases in A's prize money.",
MUL,q32a2,"If I earn a higher percentage of Horse A's prize money than of B's, practicing with Horse B doesn't make sense. This is because each additional hour of practice with a horse generates the same increase in prize money, regardless of how much I already practice with that horse.",
PRO,q12,Which one of the following statements is true?,
PRO,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I took is actually the decision that maximizes my bonus.",
PRO,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that they will actually pay me my bonus.",
PRO,q23,Which one of the following statements is true?,
PRO,q23a1,The gain in health  from consuming 10 instead of 9 gallons of the drink is smaller than the health  gain from consuming 2 instead of 1 gallon.,
PRO,q23a2,The gain in health  from consuming 10 instead of 9 gallons of the drink is larger than the health  gain from consuming 2 instead of 1 gallon.,
PRO,q23a3,The gain in health  from consuming 10 instead of 9 gallons of the drink is exactly as large as the health  gain from consuming 2 instead of 1 gallon.,
PRO,q32,Which one of the following statements is true?,
PRO,q32a1,"Consuming more of the healthy drink always means more health, but it also means higher costs.",
PRO,q32a2,Consuming more of the healthy drink can sometimes lead to lower health  if the consumer already bought a lot of the drink.,
CEE,q12,Which one of the following statements is true?,
CEE,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my decisions actually reflect how much I value the lottery ticket.",
CEE,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I will actually receive the lottery payment of $18.",
CEE,q23,Suppose the third row from the top gets randomly selected to determine the outcomes of this experiment. Which one of the following statements is <b>NOT</b> correct? <center> <div><img width=700px; src=https://github.com/sebre97/Attenuation/blob/main/Instructions/figures/instr_figures/CEE_compr.png?raw=true></div></center>,
CEE,q23a1,I will get $3.,
CEE,q23a2,I will get a lottery which pays $18 with 80% probability.,
CEE,q23a3,I will get a lottery which pays $0 with 20% probability.,
CEE,q33,Which one of the following statements is true?,
CEE,q33a1,I should complete the choice lists by thinking carefully about the row in which I would like to switch from preferring the lottery ticket to preferring the safe payment.,
CEE,q33a2,I should always switch in the first row of the choice list so that I get the highest possible bonus.,
CEE,q33a3,I should always switch in the last row of the choice list. This increases the chance of the lottery ticket determining my bonus and will thus maximize my bonus.,
PRE,q12,Which one of the following statements is true?,
PRE,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my decisions actually reflect which winning probability I value as much as the safe payment.",
PRE,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I will receive the high payment from the lottery.",
PRE,q22,Suppose the third row from the top gets randomly selected to determine the outcomes of this experiment. Which one of the following statements is <b>NOT</b> correct? <center> <div><img width=700px; src=https://github.com/sebre97/Attenuation/blob/main/Instructions/figures/instr_figures/PRE_compr.png?raw=true></div></center>,
PRE,q22a1,I will get a lottery which pays $18 with 15% probability.,
PRE,q22a2,I will get $12.,
PRE,q33,Which one of the following statements is true?,
PRE,q33a1,I should complete the choice lists by thinking carefully about the row in which I would like to switch from the safe payment to the lottery.,
PRE,q33a2,I should always switch in the last row of the choice list so that I get the highest possible bonus.,
PRE,q33a3,I should always switch in the first row of the choice list. This increases the chance of the lottery determining my bonus and will thus maximize my bonus.,
TID,q12,Which one of the following statements is true?,
TID,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my decisions actually reflect how much I value the delayed payment.",
TID,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I would actually receive the delayed payments. ",
TID,q23,Which one of the following statements is true?,
TID,q23a1,"In making my decisions, I am asked to assume that I will actually receive all payments as indicated, regardless of whether they take place now or in the future.",
TID,q23a2,"In making my decisions, I am asked to assume that it is less likely that I will actually receive payments that are meant to be received now.",
TID,q23a3,"In making my decisions, I am asked to assume that it is less likely that I will actually receive payments that are meant to be received in the future.",
TID,q33,Which one of the following statements is true?,
TID,q33a1,I should complete the choice lists by thinking carefully about the row in which I would like to switch from preferring the delayed payment to preferring the immediate payment.,
TID,q33a2,I should always switch in the first row of the choice list so that I get the highest possible bonus.,
TID,q33a3,I should always switch in the last row of the choice list so that I get the highest possible bonus.,
SIA,q12,Which one of the following statements is true?,
SIA,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that my estimate of the weight of the bucket is correct. ",
SIA,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that Ann and Bob’s estimates of the weight of the bucket are correct.",
SIA,q22,Which one of the following statements is true?,
SIA,q22a1,"Some estimators report their estimates to Ann, and the others report to Bob. No estimator reports to both Ann and Bob.  ",
SIA,q22a2,Some estimators report their estimates to both Ann and Bob. ,
SIA,q32,Which one of the following statements is true?,
SIA,q32a1,Ann and Bob report to you the average of the estimates they receive from the estimators. ,
SIA,q32a2,Ann and Bob report to you their own estimates of the weight of the bucket. ,
NEW,q12,Which one of the following statements is true?,
NEW,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
NEW,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am what the demand quantity will be.",
NEW,q23,Suppose you produce 40 gallons and demand is 30 gallons. Which one of the following statements is true?,
NEW,q23a1,"I can only sell 30 gallons at a sales price of $12, and need to pay the production costs for 40 gallons. The remaining gallons go to waste.",
NEW,q23a2,"I can sell 40 gallons at a sales price of $12, and need to pay the production costs for 40 gallons.",
NEW,q23a3,"Because demand is lower than the number of gallons I produced, I only need to pay the production costs for 30 gallons.",
NEW,q33,Suppose you produce 40 gallons and demand is 50 gallons. Which one of the following statements is true?,
NEW,q33a1,"I can sell 40 gallons at a sales price of $12, and need to pay the production costs only for these 40 gallons.",
NEW,q33a2,"I can sell 40 gallons at a sales price of $12, and need to pay the production costs for 50 gallons.",
NEW,q33a3,"Because demand is higher than the number of gallons I produced, I can quickly produce additional 10 gallons and sell them.",
EGB,q12,Which one of the following statements is true?,
EGB,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am my estimate is correct.",
EGB,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that they will actually pay me my bonus.",
EGB,q22,Which one of the following statements is true?,
EGB,q22a1,The monetary amount in the savings account increases each day.,
EGB,q22a2,"The monetary amount in the savings account only increases on a year-to-year basis, effective January 1.",
EGB,q32,Which one of the following statements is true?,
EGB,q32a1,My bonus is higher the closer my answer is to the correct answer.,
EGB,q32a2,My bonus is higher the higher the answer that I give.,
DIL,q12,Which one of the following statements is true?,
DIL,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
DIL,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that Stock A will deliver a profit.",
DIL,q23,Which one of the following statements is true?,
DIL,q23a1,99% of the amount I invest in the investment fund gets allocated to Stock A and 1% to Stock B.,
DIL,q23a2,Whatever amount I invest into the investment fund gets allocated to Stock B.,
DIL,q23a3,Whatever amount I invest into the investment fund gets split equally between Stocks A and B.,
DIL,q33,Which one of the following statements is true?,
DIL,q33a1," Stock A always has a 80% chance of doubling the investment, but for Stock B this probability varies across rounds.",
DIL,q33a2, Stock A and Stock B both always have a 80% chance of doubling the investment.,
DIL,q33a3," Stock B always has a 10% chance of doubling the investment, but for Stock A this probability varies across rounds.",
EGI,q12,Which one of the following statements is true?,
EGI,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences.",
EGI,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I chose the option that actually maximizes my own payoff.",
EGI,q22,Which one of the following statements is true?,
EGI,q22a1,"If I decide to donate to the charity, the experimenters really will donate the specified amount to the charity.",
EGI,q22a2,"If I decide to donate to the charity, the experimenters will not actually donate the specified amount to the charity.",
EGI,q32,Which one of the following statements is true?,
EGI,q32a1,"If I decide to donate to the charity, I will pay nothing (the experimenters will pay the specified amount), but I will forego a bonus of $1.",
EGI,q32a2,"If I decide to donate to the charity, I will have to pay that amount to the charity myself.",
DIS,q12,Which one of the following statements is true?,
DIS,q12a1,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that the decision I made is actually my best decision, given my personal preferences and the available information.",
DIS,q12a2,"When I'm asked to indicate my certainty about my decision, the people running this study are interested in how certain I am that I made the decision that actually maximizes my own payoff.",
DIS,q23,Suppose there are 10 Payers. Remember each Payer starts out with 40 points. Which of the following statements is true?,
